frame,thorax_x,thorax_y,thorax_z,thorax_score,neck_x,neck_y,neck_z,neck_score,a_L1_x,a_L1_y,a_L1_z,a_L1_score,a_L2_x,a_L2_y,a_L2_z,a_L2_score,a_R1_x,a_R1_y,a_R1_z,a_R1_score,a_R2_x,a_R2_y,a_R2_z,a_R2_score,leg_f_L1_x,leg_f_L1_y,leg_f_L1_z,leg_f_L1_score,leg_f_L2_x,leg_f_L2_y,leg_f_L2_z,leg_f_L2_score,leg_f_R1_x,leg_f_R1_y,leg_f_R1_z,leg_f_R1_score,leg_f_R2_x,leg_f_R2_y,leg_f_R2_z,leg_f_R2_score,leg_m_L1_x,leg_m_L1_y,leg_m_L1_z,leg_m_L1_score,leg_m_L2_x,leg_m_L2_y,leg_m_L2_z,leg_m_L2_score,leg_m_R1_x,leg_m_R1_y,leg_m_R1_z,leg_m_R1_score,leg_m_R2_x,leg_m_R2_y,leg_m_R2_z,leg_m_R2_score,a_R0_x,a_R0_y,a_R0_z,a_R0_score,a_L0_x,a_L0_y,a_L0_z,a_L0_score,leg_f_R0_x,leg_f_R0_y,leg_f_R0_z,leg_f_R0_score,leg_f_L0_x,leg_f_L0_y,leg_f_L0_z,leg_f_L0_score,leg_m_R0_x,leg_m_R0_y,leg_m_R0_z,leg_m_R0_score,leg_m_L0_x,leg_m_L0_y,leg_m_L0_z,leg_m_L0_score,eye_L_x,eye_L_y,eye_L_z,eye_L_score,eye_R_x,eye_R_y,eye_R_z,eye_R_score,m_L0_x,m_L0_y,m_L0_z,m_L0_score,m_R0_x,m_R0_y,m_R0_z,m_R0_score,m_L1_x,m_L1_y,m_L1_z,m_L1_score,m_R1_x,m_R1_y,m_R1_z,m_R1_score
0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
1,8.195440499442476,0.11250189379290901,211.390279512105,0.04114977295002761,8.44267555642689,-1.6704968746813396,212.96101612194664,0.008093882098447028,7.424971495831733,-2.28093030686555,211.18354806203635,0.0027181466653205697,,,,0.0,8.768862049731014,-1.506367569204727,212.70302784101906,0.00180094642775129,,,,0.0,8.232293066710174,-1.6617889313246075,212.5505544533724,0.002182795912298103,,,,0.0,8.92951867481143,-0.8797447468421392,215.84603791048795,0.009374249810914441,,,,0.0,8.28332871028589,-1.8096583552080932,213.01555028486322,0.00195424216427886,,,,0.0,9.447492509335014,-0.049597430699348515,211.46536387407656,0.008412491460851037,9.938065168344782,1.0793395751873416,220.00963165683086,0.001911573231140809,,,,0.0,,,,0.0,,,,0.0,9.0514426198298,-1.6697878859025286,215.11843774592512,0.0024194150644620944,,,,0.0,8.79526832962621,-1.3418834612864978,215.28865680789858,0.002124727302025858,,,,0.0,8.494025838274743,-1.6239209023972827,214.6741118487956,0.005590014251403373,,,,0.0,,,,0.0,,,,0.0,,,,0.0
2,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
3,8.181372903370784,0.08273709606939503,211.3606949118829,0.048016999566342734,,,,0.0,7.3633312068079775,-2.2107982300684594,211.19365683352078,0.0028334168143534576,,,,0.0,8.785719034301449,-1.482540665223666,212.7341555226085,0.0019906910039128945,,,,0.0,8.057036858280291,-1.4749716896062388,212.6146288758343,0.0026387394146149172,,,,0.0,8.954646080604144,-0.9018773129730328,215.89876716607245,0.009454507615036765,,,,0.0,8.36987010070174,-1.8989142613685186,213.02030880018668,0.0019155799626994075,,,,0.0,9.4629429429859,-0.06274800329279248,211.46568406764138,0.008474202871132376,9.911730510496268,1.1031987880323064,220.00503106548464,0.0019462759813462824,,,,0.0,,,,0.0,9.2259891827988,-1.1528397410854863,216.17114239913286,0.004059143941836463,9.085781685045813,-1.7098377384796164,215.11684329333573,0.002485724861539695,9.123552756570527,-0.5277356760858397,216.84150695865,0.004479224815794249,8.791021996891349,-1.2957185594286067,215.37257058333293,0.0021877295503343677,,,,0.0,8.608575463960594,-1.7233895355969546,214.32147802167802,0.008329038085623436,,,,0.0,,,,0.0,,,,0.0,,,,0.0
4,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
5,8.209829832277522,0.12645993232008443,211.44017208771078,0.07072747082314239,8.335004753211162,-1.5666215365423801,213.00885975978036,0.009087121062545315,7.317791220821616,-2.0113809199333046,211.28046253113263,0.003166645504448587,,,,0.0,9.01805197672046,-1.5549295187496541,216.88136974181157,0.0023016903715719385,,,,0.0,8.043653920706602,-1.4799204022075136,212.59299068994164,0.0026444311867248314,,,,0.0,8.92725499112105,-0.893506046890044,215.81919833668024,0.008954127205211075,,,,0.0,8.54749374648976,-2.1069222208146847,213.04595858250426,0.001830067830095778,,,,0.0,9.458301892788077,-0.035467957520713154,211.51753442976195,0.008758004682638891,9.969989023751298,1.0344064439388068,220.03048563985834,0.001845854692381244,,,,0.0,8.047921897837076,-2.5192398334737884,211.28094331408016,0.005600848463906382,9.289147089572262,-1.2356064871549812,216.2083098574592,0.004558477045503835,9.041594612957198,-1.6726088775138592,215.1595248483251,0.0024453955853566546,9.175727354455592,-0.596852786706573,216.81307719603265,0.0044098140706187935,8.805967747802674,-1.287743448454439,215.38249747052683,0.002208421281861568,8.035277205148283,-2.1315380368616728,212.41930594419983,0.003499345244529826,8.551257719528799,-1.622048849938186,214.74428683751827,0.005746507705717293,,,,0.0,,,,0.0,,,,0.0,,,,0.0
6,8.19430024613014,0.12627175901018836,211.4046121169403,0.04216940892393998,8.551822123252284,-1.7693584863676324,212.97109356416868,0.00902953615023648,7.3620137603723865,-1.9771080916811665,211.30725180010032,0.003018220488459033,,,,0.0,8.844740181329438,-1.551571380700612,213.36828144335715,0.002736684155087211,,,,0.0,7.987926676946014,-1.4272296602394805,212.6406480635315,0.002859764604221108,,,,0.0,8.951215473920715,-0.8924173796890154,215.86791943458098,0.009804968107403882,,,,0.0,8.842139991039547,-2.119637260899461,213.27134220522237,0.0017424080030504303,,,,0.0,9.706449071451011,-0.06595760504694882,217.054713961538,0.01049869313830638,9.823294793209017,1.2145954622546724,220.0381151449743,0.0019882622284104748,,,,0.0,8.006079881401478,-2.481386579914315,211.25868599368977,0.006460870021004864,9.304372041538889,-1.2989824996210382,216.22360615022833,0.004966402737783435,9.066425526860302,-1.7062798853354086,215.20005362038145,0.0025977366465421412,9.172672268165366,-0.6413918852439994,216.82753005781103,0.0043251237819824425,8.847578850498305,-1.334305768689263,215.4768497739317,0.0022309176164612313,8.130476718693139,-2.262049991919539,211.64937920181066,0.002723050301167701,8.435874859051921,-1.5963162824250938,213.34377676816285,0.007780611251170539,,,,0.0,,,,0.0,,,,0.0,,,,0.0
7,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
8,8.166603176335204,0.08205514677570107,211.33329908120325,0.042320768555081344,,,,0.0,7.352279383941313,-1.9540067471428366,211.31120361730473,0.003178885032709858,,,,0.0,8.860565808236112,-1.5206934531084975,213.32651519127606,0.0028407900851422996,,,,0.0,8.134246742359727,-1.5762028155857715,212.6808383930757,0.002493112402390483,,,,0.0,8.90244035863932,-0.9099416618615436,215.74672341788198,0.00857894037621136,,,,0.0,8.854173042101017,-2.119109895502056,213.31583458092067,0.001799477715362893,,,,0.0,9.692389259777665,-0.040369759862824074,217.08795363759273,0.009925001262767203,9.94963079306519,1.0891916658765808,220.0671645834424,0.001996852881641236,,,,0.0,,,,0.0,9.275868204578256,-1.2585995706083632,216.27330964011782,0.005197969973667633,9.019564603776791,-1.6949029965314195,215.21445105259957,0.002659797760981445,9.173115920683417,-0.621051406684166,217.1444347697127,0.004490294911793311,8.884286776925352,-1.3707070422210117,215.4627026119397,0.0022572540523655648,,,,0.0,8.432190016973253,-1.5882048807180762,213.3958760457447,0.006762709370974928,,,,0.0,,,,0.0,,,,0.0,,,,0.0
9,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
